,CO2,Pressure,Temperature,Humidity, Room, Position, Sensor ID,time,date
0,657.0,96890.0,25.567,14.775,4A-027,Calibration,C6:DA:C4:A8:1E:12,1675860682.0,2023-02-08 12:51:22
2,647.0,96945.0,26.595,15.051,4A-027,Calibration,C6:DA:C4:A8:1E:15,1675860724.0,2023-02-08 12:52:04
3,604.0,97099.0,26.609,14.738,4A-027,Calibration,C6:DA:C4:A8:1E:16,1675860727.0,2023-02-08 12:52:07
4,650.0,96865.0,26.713,15.51,4A-027,Calibration,C6:DA:C4:A8:1E:12,1675860789.0,2023-02-08 12:53:09
6,626.0,96870.0,27.533,14.527,4A-027,Calibration,C6:DA:C4:A8:1E:15,1675860833.0,2023-02-08 12:53:53
7,595.0,96871.0,27.602,15.109,4A-027,Calibration,C6:DA:C4:A8:1E:16,1675860835.0,2023-02-08 12:53:55
8,630.0,97068.0,27.503,14.9,4A-027,Calibration,C6:DA:C4:A8:1E:12,1675860907.0,2023-02-08 12:55:07
9,619.0,97077.0,27.669,15.777,4A-027,Calibration,C6:DA:C4:A8:1E:03,1675860909.0,2023-02-08 12:55:09
10,642.0,97061.0,27.778,15.158,4A-027,Calibration,C6:DA:C4:A8:1E:15,1675860911.0,2023-02-08 12:55:11
11,595.0,97092.0,27.986,15.086,4A-027,Calibration,C6:DA:C4:A8:1E:16,1675860914.0,2023-02-08 12:55:14
12,620.0,97111.0,27.765,14.208,4A-027,Calibration,C6:DA:C4:A8:1E:12,1675860975.0,2023-02-08 12:56:15
13,636.0,97118.0,27.896,14.315,4A-027,Calibration,C6:DA:C4:A8:1E:03,1675860977.0,2023-02-08 12:56:17
15,597.0,97106.0,28.221,13.865,4A-027,Calibration,C6:DA:C4:A8:1E:16,1675860979.0,2023-02-08 12:56:19
16,567.0,97117.0,28.056,15.232,4A-027,Calibration,C6:DA:C4:A8:1E:12,1675861041.0,2023-02-08 12:57:21
17,578.0,97130.0,28.208,15.829,4A-027,Calibration,C6:DA:C4:A8:1E:03,1675861043.0,2023-02-08 12:57:23
18,581.0,97114.0,28.27,15.353,4A-027,Calibration,C6:DA:C4:A8:1E:15,1675861045.0,2023-02-08 12:57:25
19,534.0,97117.0,28.488,15.634,4A-027,Calibration,C6:DA:C4:A8:1E:16,1675861047.0,2023-02-08 12:57:27
20,511.0,97117.0,28.243,15.821,4A-027,Calibration,C6:DA:C4:A8:1E:12,1675861109.0,2023-02-08 12:58:29
21,487.0,97123.0,28.44,16.96,4A-027,Calibration,C6:DA:C4:A8:1E:03,1675861111.0,2023-02-08 12:58:31
22,528.0,97107.0,28.486,15.968,4A-027,Calibration,C6:DA:C4:A8:1E:15,1675861113.0,2023-02-08 12:58:33
23,451.0,97110.0,28.713,16.723,4A-027,Calibration,C6:DA:C4:A8:1E:16,1675861115.0,2023-02-08 12:58:35
24,466.0,97082.0,28.411,16.087,4A-027,Calibration,C6:DA:C4:A8:1E:12,1675861178.0,2023-02-08 12:59:38
25,416.0,97096.0,28.595,17.395,4A-027,Calibration,C6:DA:C4:A8:1E:03,1675861180.0,2023-02-08 12:59:40
26,482.0,97083.0,28.641,16.218,4A-027,Calibration,C6:DA:C4:A8:1E:15,1675861182.0,2023-02-08 12:59:42
27,390.0,97083.0,28.801,17.219,4A-027,Calibration,C6:DA:C4:A8:1E:16,1675861184.0,2023-02-08 12:59:44
28,444.0,97116.0,28.55,15.031,4A-027,Calibration,C6:DA:C4:A8:1E:12,1675861247.0,2023-02-08 13:00:47
29,406.0,97124.0,28.734,15.093,4A-027,Calibration,C6:DA:C4:A8:1E:03,1675861249.0,2023-02-08 13:00:49
30,489.0,97101.0,28.793,14.874,4A-027,Calibration,C6:DA:C4:A8:1E:15,1675861251.0,2023-02-08 13:00:51
31,382.0,97112.0,28.884,14.918,4A-027,Calibration,C6:DA:C4:A8:1E:16,1675861253.0,2023-02-08 13:00:53
32,441.0,97103.0,28.601,15.931000000000001,4A-027,Calibration,C6:DA:C4:A8:1E:12,1675861316.0,2023-02-08 13:01:56
33,413.0,97108.0,28.748,16.36,4A-027,Calibration,C6:DA:C4:A8:1E:03,1675861317.0,2023-02-08 13:01:57
34,489.0,97102.0,28.873,16.001,4A-027,Calibration,C6:DA:C4:A8:1E:15,1675861319.0,2023-02-08 13:01:59
35,395.0,97094.0,28.956,16.171,4A-027,Calibration,C6:DA:C4:A8:1E:16,1675861321.0,2023-02-08 13:02:01
36,450.0,97112.0,28.729,14.903,4A-027,Calibration,C6:DA:C4:A8:1E:12,1675861384.0,2023-02-08 13:03:04
37,433.0,97129.0,28.926,14.878,4A-027,Calibration,C6:DA:C4:A8:1E:03,1675861385.0,2023-02-08 13:03:05
38,505.0,97105.0,28.985,14.416,4A-027,Calibration,C6:DA:C4:A8:1E:15,1675861387.0,2023-02-08 13:03:07
39,420.0,97116.0,29.025,14.518,4A-027,Calibration,C6:DA:C4:A8:1E:16,1675861389.0,2023-02-08 13:03:09
41,458.0,97104.0,28.934,15.483,4A-027,Calibration,C6:DA:C4:A8:1E:03,1675861451.0,2023-02-08 13:04:11
42,515.0,97097.0,29.076,15.495,4A-027,Calibration,C6:DA:C4:A8:1E:15,1675861453.0,2023-02-08 13:04:13
43,441.0,97092.0,29.063,15.328,4A-027,Calibration,C6:DA:C4:A8:1E:16,1675861455.0,2023-02-08 13:04:15
44,458.0,97099.0,28.83,16.165,4A-027,Calibration,C6:DA:C4:A8:1E:12,1675861517.0,2023-02-08 13:05:17
45,471.0,97112.0,29.057,16.645,4A-027,Calibration,C6:DA:C4:A8:1E:03,1675861521.0,2023-02-08 13:05:21
46,513.0,97105.0,29.084,16.416,4A-027,Calibration,C6:DA:C4:A8:1E:15,1675861523.0,2023-02-08 13:05:23
47,460.0,97101.0,29.135,16.526,4A-027,Calibration,C6:DA:C4:A8:1E:16,1675861524.0,2023-02-08 13:05:24
48,460.0,97111.0,28.876,16.59,4A-027,Calibration,C6:DA:C4:A8:1E:12,1675861586.0,2023-02-08 13:06:26
49,479.0,97113.0,29.159,17.332,4A-027,Calibration,C6:DA:C4:A8:1E:03,1675861589.0,2023-02-08 13:06:29
50,518.0,97089.0,29.113,16.815,4A-027,Calibration,C6:DA:C4:A8:1E:15,1675861591.0,2023-02-08 13:06:31
51,467.0,97098.0,29.164,17.332,4A-027,Calibration,C6:DA:C4:A8:1E:16,1675861593.0,2023-02-08 13:06:33
53,485.0,97108.0,29.135,17.768,4A-027,Calibration,C6:DA:C4:A8:1E:03,1675861657.0,2023-02-08 13:07:37
54,518.0,97102.0,29.199,17.14,4A-027,Calibration,C6:DA:C4:A8:1E:15,1675861659.0,2023-02-08 13:07:39
55,472.0,97098.0,29.199,17.831,4A-027,Calibration,C6:DA:C4:A8:1E:16,1675861661.0,2023-02-08 13:07:41
56,464.0,97110.0,28.945,17.21,4A-027,Calibration,C6:DA:C4:A8:1E:12,1675861721.0,2023-02-08 13:08:41
58,517.0,97088.0,29.234,17.425,4A-027,Calibration,C6:DA:C4:A8:1E:15,1675861723.0,2023-02-08 13:08:43
59,476.0,97094.0,29.204,18.145,4A-027,Calibration,C6:DA:C4:A8:1E:16,1675861725.0,2023-02-08 13:08:45
60,462.0,97100.0,28.985,17.466,4A-027,Calibration,C6:DA:C4:A8:1E:12,1675861788.0,2023-02-08 13:09:48
61,489.0,97102.0,29.145,18.286,4A-027,Calibration,C6:DA:C4:A8:1E:03,1675861789.0,2023-02-08 13:09:49
62,519.0,97092.0,29.274,17.648,4A-027,Calibration,C6:DA:C4:A8:1E:15,1675861792.0,2023-02-08 13:09:52
63,480.0,97092.0,29.185,18.394,4A-027,Calibration,C6:DA:C4:A8:1E:16,1675861794.0,2023-02-08 13:09:54
64,461.0,97093.0,28.977,17.724,4A-027,Calibration,C6:DA:C4:A8:1E:12,1675861857.0,2023-02-08 13:10:57
65,492.0,97111.0,29.169,18.455,4A-027,Calibration,C6:DA:C4:A8:1E:03,1675861859.0,2023-02-08 13:10:59
66,522.0,97078.0,29.308,17.869,4A-027,Calibration,C6:DA:C4:A8:1E:15,1675861861.0,2023-02-08 13:11:01
