,,,none,Calibration,B8:27:EB:98:CF:BA,1674553741
,,,none,Calibration,B8:27:EB:34:50:CA,1674553782
948,95993,27.615,18.128,none,Calibration,B8:27:EB:B1:D5:C6,1674553784
,,,none,Calibration,B8:27:EB:0F85:C3,1674553784
,,,none,Calibration,B8:27:EB:98:CF:BA,1674554152
,,,none,Calibration,B8:27:EB:34:50:CA,1674554193
886,95992,27.354,18.063,none,Calibration,B8:27:EB:B1:D5:C6,1674554194
,,,none,Calibration,B8:27:EB:0F85:C3,1674554194
,,,none,Calibration,B8:27:EB:98:CF:BA,1674554274
,,,none,Calibration,B8:27:EB:34:50:CA,1674554274
,,,none,Calibration,B8:27:EB:B1:D5:C6,1674554274
,,,none,Calibration,B8:27:EB:0F85:C3,1674554274
,,,none,Calibration,B8:27:EB:98:CF:BA,1675697703
,,,none,Calibration,B8:27:EB:34:50:CA,1675697743
878,95977,27.776,17.655,none,Calibration,B8:27:EB:B1:D5:C6,1675697745
,,,none,Calibration,B8:27:EB:0F85:C3,1675697745
,,,none,Calibration,B8:27:EB:98:CF:BA,1675697845
,,,none,Calibration,B8:27:EB:34:50:CA,1675697845
,,,none,Calibration,B8:27:EB:B1:D5:C6,1675697845
,,,none,Calibration,B8:27:EB:0F85:C3,1675697846
,,,none,Calibration,B8:27:EB:98:CF:BA,1675698170
,,,none,Calibration,B8:27:EB:34:50:CA,1675698210
,,,none,Calibration,B8:27:EB:B1:D5:C6,1675698210
733,95982,25.615,18.338,none,Calibration,B8:27:EB:0F:85:C3,1675698212
,,,none,Calibration,B8:27:EB:98:CF:BA,1675698540
,,,none,Calibration,B8:27:EB:34:50:CA,1675698580
,,,none,Calibration,B8:27:EB:B1:D5:C6,1675698580
716,95985,25.826,19.34,none,Calibration,B8:27:EB:0F:85:C3,1675698582
,,,none,Calibration,B8:27:EB:98:CF:BA,1675698608
,,,none,Calibration,B8:27:EB:34:50:CA,1675698608
,,,none,Calibration,B8:27:EB:B1:D5:C6,1675698609
,,,none,Calibration,B8:27:EB:0F:85:C3,1675698609
635,96643,24.95,23.861,none,Calibration,B8:27:EB:98:CF:BA,1675754396
698,96620,26.243,16.88,none,Calibration,B8:27:EB:B1:D5:C6,1675754397
644,96642,24.889,17.434,none,Calibration,B8:27:EB:0F:85:C3,1675754399
635,96643,24.942,23.551,none,Calibration,B8:27:EB:98:CF:BA,1675754405
698,96623,26.203,16.984,none,Calibration,B8:27:EB:B1:D5:C6,1675754407
644,96637,24.91,17.158,none,Calibration,B8:27:EB:0F:85:C3,1675754408
634,96641,24.958,23.611,none,Calibration,B8:27:EB:98:CF:BA,1675754415
698,96620,26.211,16.888,none,Calibration,B8:27:EB:B1:D5:C6,1675754417
645,96637,24.897,17.492,none,Calibration,B8:27:EB:0F:85:C3,1675754418
633,96640,24.94,23.554,none,Calibration,B8:27:EB:98:CF:BA,1675754425
697,96619,26.168,16.876,none,Calibration,B8:27:EB:B1:D5:C6,1675754426
646,96636,24.926,17.3,none,Calibration,B8:27:EB:0F:85:C3,1675754428
633,96640,24.95,23.687,none,Calibration,B8:27:EB:98:CF:BA,1675754435
696,96618,26.157,16.825,none,Calibration,B8:27:EB:B1:D5:C6,1675754436
645,96636,24.924,17.344,none,Calibration,B8:27:EB:0F:85:C3,1675754438
632,96640,24.924,23.687,none,Calibration,B8:27:EB:98:CF:BA,1675754445
699,96619,26.2,16.888,none,Calibration,B8:27:EB:B1:D5:C6,1675754446
645,96636,24.918,17.393,none,Calibration,B8:27:EB:0F:85:C3,1675754448
632,96640,24.95,23.747,none,Calibration,B8:27:EB:98:CF:BA,1675754455
703,96618,26.192,16.877,none,Calibration,B8:27:EB:B1:D5:C6,1675754456
645,96635,24.916,17.393,none,Calibration,B8:27:EB:0F:85:C3,1675754458
632,96640,24.91,23.728,none,Calibration,B8:27:EB:98:CF:BA,1675754464
704,96618,26.192,16.816,none,Calibration,B8:27:EB:B1:D5:C6,1675754466
645,96635,24.969,17.384,none,Calibration,B8:27:EB:0F:85:C3,1675754468
631,96639,24.916,23.699,none,Calibration,B8:27:EB:98:CF:BA,1675754474
705,96617,26.224,16.899,none,Calibration,B8:27:EB:B1:D5:C6,1675754476
645,96634,25.004,17.456,none,Calibration,B8:27:EB:0F:85:C3,1675754477
633,96639,24.916,23.747,none,Calibration,B8:27:EB:98:CF:BA,1675754484
705,96617,26.197,16.896,none,Calibration,B8:27:EB:B1:D5:C6,1675754485
646,96635,25.001,17.48,none,Calibration,B8:27:EB:0F:85:C3,1675754487
634,96639,24.918,23.928,none,Calibration,B8:27:EB:98:CF:BA,1675754493
705,96617,26.219,16.909,none,Calibration,B8:27:EB:B1:D5:C6,1675754495
646,96635,24.942,17.613,none,Calibration,B8:27:EB:0F:85:C3,1675754496
634,96638,24.934,23.931,none,Calibration,B8:27:EB:98:CF:BA,1675754503
706,96616,26.168,16.902,none,Calibration,B8:27:EB:B1:D5:C6,1675754504
646,96635,24.99,17.585,none,Calibration,B8:27:EB:0F:85:C3,1675754506
635,96642,24.908,23.959,none,Calibration,B8:27:EB:98:CF:BA,1675754513
709,96620,26.155,16.961,none,Calibration,B8:27:EB:B1:D5:C6,1675754515
647,96637,24.977,17.469,none,Calibration,B8:27:EB:0F:85:C3,1675754516
637,96636,24.91,23.713,none,Calibration,B8:27:EB:98:CF:BA,1675754523
707,96618,26.147,16.912,none,Calibration,B8:27:EB:B1:D5:C6,1675754524
647,96633,24.99,17.257,none,Calibration,B8:27:EB:0F:85:C3,1675754526
639,96637,24.926,23.551,none,Calibration,B8:27:EB:98:CF:BA,1675754533
707,96615,26.173,16.865,none,Calibration,B8:27:EB:B1:D5:C6,1675754534
645,96633,24.996,17.147,none,Calibration,B8:27:EB:0F:85:C3,1675754536
639,96637,24.934,23.776,none,Calibration,B8:27:EB:98:CF:BA,1675754543
707,96615,26.211,16.839,none,Calibration,B8:27:EB:B1:D5:C6,1675754544
645,96633,25.025,17.495,none,Calibration,B8:27:EB:0F:85:C3,1675754546
638,96637,24.934,24.014,none,Calibration,B8:27:EB:98:CF:BA,1675754552
707,96616,26.203,16.839,none,Calibration,B8:27:EB:B1:D5:C6,1675754554
645,96633,25.052,17.715,none,Calibration,B8:27:EB:0F:85:C3,1675754556
639,96637,24.916,24.075,none,Calibration,B8:27:EB:98:CF:BA,1675754562
703,96615,26.216,16.876,none,Calibration,B8:27:EB:B1:D5:C6,1675754564
645,96633,24.985,17.626,none,Calibration,B8:27:EB:0F:85:C3,1675754565
639,96640,24.91,24.223,none,Calibration,B8:27:EB:98:CF:BA,1675754572
706,96615,26.259,16.857,none,Calibration,B8:27:EB:B1:D5:C6,1675754573
644,96637,25.044,17.726,none,Calibration,B8:27:EB:0F:85:C3,1675754575
640,96636,24.9,23.976,none,Calibration,B8:27:EB:98:CF:BA,1675754581
705,96617,26.253,16.902,none,Calibration,B8:27:EB:B1:D5:C6,1675754583
646,96632,25.055,17.399,none,Calibration,B8:27:EB:0F:85:C3,1675754584
641,96636,24.905,23.803,none,Calibration,B8:27:EB:98:CF:BA,1675754591
706,96614,26.28,16.954,none,Calibration,B8:27:EB:B1:D5:C6,1675754592
647,96632,25.103,17.327,none,Calibration,B8:27:EB:0F:85:C3,1675754594
642,96636,24.905,23.788,none,Calibration,B8:27:EB:98:CF:BA,1675754601
707,96614,26.253,16.917,none,Calibration,B8:27:EB:B1:D5:C6,1675754603
646,96632,25.095,17.35,none,Calibration,B8:27:EB:0F:85:C3,1675754604
643,96636,24.916,23.815,none,Calibration,B8:27:EB:98:CF:BA,1675754611
707,96614,26.224,16.828,none,Calibration,B8:27:EB:B1:D5:C6,1675754612
647,96631,25.121,17.468,none,Calibration,B8:27:EB:0F:85:C3,1675754614
644,96635,24.91,23.941,none,Calibration,B8:27:EB:98:CF:BA,1675754621
708,96614,26.267,16.912,none,Calibration,B8:27:EB:B1:D5:C6,1675754622
647,96631,25.097,17.465,none,Calibration,B8:27:EB:0F:85:C3,1675754624
645,96636,24.91,23.889,none,Calibration,B8:27:EB:98:CF:BA,1675754630
709,96614,26.224,16.886,none,Calibration,B8:27:EB:B1:D5:C6,1675754632
648,96631,25.119,17.291,none,Calibration,B8:27:EB:0F:85:C3,1675754633
646,96636,24.916,23.744,none,Calibration,B8:27:EB:98:CF:BA,1675754640
709,96614,26.237,16.787,none,Calibration,B8:27:EB:B1:D5:C6,1675754641
646,96631,25.121,17.494,none,Calibration,B8:27:EB:0F:85:C3,1675754643
646,96636,24.916,23.939,none,Calibration,B8:27:EB:98:CF:BA,1675754649
