CO2,Pressure,Temperature,Humidity, Room, Position, Sensor ID,time
443,97079,28.726,18.354,none,Calibration,B8:27:EB:0F:85:C3,1675870760
436,97075,29.372,23.484,none,Calibration,B8:27:EB:34:50:CA,1675870762
452,97079,29.703,17.619,none,Calibration,B8:27:EB:86:0C:42,1675870764
441,97074,29.832,18.173,none,Calibration,7C:3F:E7:16:00:69,1675870825
449,97073,29.912,18.266,none,Calibration,B8:27:EB:B1:D5:C6,1675870827
444,97091,29.509,24.456,none,Calibration,B8:27:EB:98:CF:BA,1675870828
441,97090,28.804,18.569,none,Calibration,B8:27:EB:0F:85:C3,1675870830
437,97072,29.431,23.716,none,Calibration,B8:27:EB:34:50:CA,1675870833
453,97088,29.81,17.784,none,Calibration,B8:27:EB:86:0C:42,1675870834
437,97059,29.866,18.261,none,Calibration,7C:3F:E7:16:00:69,1675870896
444,97064,29.971,18.444,none,Calibration,B8:27:EB:B1:D5:C6,1675870898
442,97087,29.613,24.606,none,Calibration,B8:27:EB:98:CF:BA,1675870900
,,,none,Calibration,B8:27:EB:0F:85:C3,1675870900
435,97086,29.493,23.876,none,Calibration,B8:27:EB:34:50:CA,1675870902
452,97078,29.853,17.927,none,Calibration,B8:27:EB:86:0C:42,1675870904
431,97063,29.917,18.397,none,Calibration,7C:3F:E7:16:00:69,1675870966
444,97067,30.04,18.589,none,Calibration,B8:27:EB:B1:D5:C6,1675870968
439,97085,29.682,24.743,none,Calibration,B8:27:EB:98:CF:BA,1675870970
438,97081,28.86,18.92,none,Calibration,B8:27:EB:0F:85:C3,1675870971
437,97078,29.525,24.032,none,Calibration,B8:27:EB:34:50:CA,1675870973
452,97085,29.888,18.07,none,Calibration,B8:27:EB:86:0C:42,1675870975
432,97073,29.96,18.495,none,Calibration,7C:3F:E7:16:00:69,1675871039
442,97075,30.064,18.69,none,Calibration,B8:27:EB:B1:D5:C6,1675871040
434,97093,29.73,24.801,none,Calibration,B8:27:EB:98:CF:BA,1675871042
434,97096,28.86,19.041,none,Calibration,B8:27:EB:0F:85:C3,1675871044
431,97076,29.586,24.151,none,Calibration,B8:27:EB:34:50:CA,1675871045
450,97081,29.928,18.145,none,Calibration,B8:27:EB:86:0C:42,1675871047
431,97060,30.045,18.554,none,Calibration,7C:3F:E7:16:00:69,1675871109
445,97063,30.125,18.751,none,Calibration,B8:27:EB:B1:D5:C6,1675871110
437,97088,29.826,24.908,none,Calibration,B8:27:EB:98:CF:BA,1675871112
433,97078,28.886,19.178,none,Calibration,B8:27:EB:0F:85:C3,1675871114
430,97086,29.57,24.238,none,Calibration,B8:27:EB:34:50:CA,1675871115
452,97086,30.0,18.264,none,Calibration,B8:27:EB:86:0C:42,1675871117
430,97074,30.085,18.65,none,Calibration,7C:3F:E7:16:00:69,1675871179
441,97078,30.12,18.847,none,Calibration,B8:27:EB:B1:D5:C6,1675871181
,,,none,Calibration,B8:27:EB:98:CF:BA,1675871181
430,97091,28.916,19.271,none,Calibration,B8:27:EB:0F:85:C3,1675871183
425,97078,29.645,24.319,none,Calibration,B8:27:EB:34:50:CA,1675871185
447,97082,29.995,18.324,none,Calibration,B8:27:EB:86:0C:42,1675871186
426,97078,30.155,18.71,none,Calibration,7C:3F:E7:16:00:69,1675871248
433,97070,30.147,18.898,none,Calibration,B8:27:EB:B1:D5:C6,1675871250
428,97100,29.866,25.039,none,Calibration,B8:27:EB:98:CF:BA,1675871252
432,97095,28.953,19.372,none,Calibration,B8:27:EB:0F:85:C3,1675871254
427,97088,29.661,24.418,none,Calibration,B8:27:EB:34:50:CA,1675871255
446,97079,30.08,18.431,none,Calibration,B8:27:EB:86:0C:42,1675871257
425,97058,30.179,18.768,none,Calibration,7C:3F:E7:16:00:69,1675871319
434,97062,30.211,18.989,none,Calibration,B8:27:EB:B1:D5:C6,1675871321
426,97087,29.866,25.059,none,Calibration,B8:27:EB:98:CF:BA,1675871324
,,,none,Calibration,B8:27:EB:0F:85:C3,1675871324
426,97083,29.682,24.508,none,Calibration,B8:27:EB:34:50:CA,1675871326
443,97087,30.085,18.478,none,Calibration,B8:27:EB:86:0C:42,1675871327
424,97071,30.222,18.782,none,Calibration,7C:3F:E7:16:00:69,1675871391
435,97078,30.219,19.036,none,Calibration,B8:27:EB:B1:D5:C6,1675871393
429,97084,29.904,25.129,none,Calibration,B8:27:EB:98:CF:BA,1675871394
430,97094,28.953,19.535,none,Calibration,B8:27:EB:0F:85:C3,1675871396
422,97075,29.738,24.528,none,Calibration,B8:27:EB:34:50:CA,1675871397
440,97075,30.131,18.524,none,Calibration,B8:27:EB:86:0C:42,1675871399
425,97059,30.267,18.841,none,Calibration,7C:3F:E7:16:00:69,1675871461
440,97061,30.262,19.107,none,Calibration,B8:27:EB:B1:D5:C6,1675871462
431,97094,29.92,25.164,none,Calibration,B8:27:EB:98:CF:BA,1675871464
430,97077,28.921,19.583,none,Calibration,B8:27:EB:0F:85:C3,1675871467
424,97086,29.76,24.62,none,Calibration,B8:27:EB:34:50:CA,1675871468
437,97087,30.109,18.563,none,Calibration,B8:27:EB:86:0C:42,1675871470
427,97055,30.307,18.836,none,Calibration,7C:3F:E7:16:00:69,1675871532
434,97072,30.262,19.151,none,Calibration,B8:27:EB:B1:D5:C6,1675871533
427,97079,29.925,25.218,none,Calibration,B8:27:EB:98:CF:BA,1675871534
433,97076,28.948,19.654,none,Calibration,B8:27:EB:0F:85:C3,1675871537
424,97078,29.73,24.633,none,Calibration,B8:27:EB:34:50:CA,1675871539
442,97090,30.149,18.62,none,Calibration,B8:27:EB:86:0C:42,1675871541
427,97075,30.318,18.927,none,Calibration,7C:3F:E7:16:00:69,1675871603
434,97076,30.278,19.175,none,Calibration,B8:27:EB:B1:D5:C6,1675871605
,,,none,Calibration,B8:27:EB:98:CF:BA,1675871605
433,97092,28.94,19.683,none,Calibration,B8:27:EB:0F:85:C3,1675871607
424,97074,29.784,24.688,none,Calibration,B8:27:EB:34:50:CA,1675871608
438,97072,30.173,18.649,none,Calibration,B8:27:EB:86:0C:42,1675871610
431,97054,30.323,18.931,none,Calibration,7C:3F:E7:16:00:69,1675871671
,,,none,Calibration,B8:27:EB:B1:D5:C6,1675871672
,,,none,Calibration,B8:27:EB:98:CF:BA,1675871672
,,,none,Calibration,B8:27:EB:0F:85:C3,1675871673
423,97081,29.8,24.713,none,Calibration,B8:27:EB:34:50:CA,1675871674
445,97088,30.197,18.675,none,Calibration,B8:27:EB:86:0C:42,1675871677
426,97073,30.315,18.959,none,Calibration,7C:3F:E7:16:00:69,1675871739
436,97075,30.27,19.273,none,Calibration,B8:27:EB:B1:D5:C6,1675871741
424,97085,30.0,25.308,none,Calibration,B8:27:EB:98:CF:BA,1675871744
431,97089,28.991,19.783,none,Calibration,B8:27:EB:0F:85:C3,1675871746
425,97074,29.816,24.781,none,Calibration,B8:27:EB:34:50:CA,1675871748
443,97075,30.214,18.71,none,Calibration,B8:27:EB:86:0C:42,1675871749
426,97066,30.352,18.969,none,Calibration,7C:3F:E7:16:00:69,1675871813
437,97064,30.336,19.29,none,Calibration,B8:27:EB:B1:D5:C6,1675871815
422,97094,30.035,25.34,none,Calibration,B8:27:EB:98:CF:BA,1675871816
435,97079,29.023,19.822,none,Calibration,B8:27:EB:0F:85:C3,1675871818
427,97083,29.808,24.774,none,Calibration,B8:27:EB:34:50:CA,1675871819
444,97082,30.208,18.728,none,Calibration,B8:27:EB:86:0C:42,1675871821
426,97061,30.358,18.991,none,Calibration,7C:3F:E7:16:00:69,1675871883
440,97078,30.31,19.354,none,Calibration,B8:27:EB:B1:D5:C6,1675871884
432,97090,30.053,25.332,none,Calibration,B8:27:EB:98:CF:BA,1675871886
,,,none,Calibration,B8:27:EB:0F:85:C3,1675871886
427,97089,29.826,24.819,none,Calibration,B8:27:EB:34:50:CA,1675871888
445,97087,30.264,18.762,none,Calibration,B8:27:EB:86:0C:42,1675871890
467,97080,30.36,18.966,none,Calibration,7C:3F:E7:16:00:69,1675871951
467,97070,30.32,19.328,none,Calibration,B8:27:EB:B1:D5:C6,1675871953
531,97099,30.061,25.347,none,Calibration,B8:27:EB:98:CF:BA,1675871955
455,97096,28.988,19.853,none,Calibration,B8:27:EB:0F:85:C3,1675871956
506,97080,29.842,24.803,none,Calibration,B8:27:EB:34:50:CA,1675871958
457,97089,30.251,18.759,none,Calibration,B8:27:EB:86:0C:42,1675871960
605,97064,30.406,19.001,none,Calibration,7C:3F:E7:16:00:69,1675872022
580,97078,30.347,19.335,none,Calibration,B8:27:EB:B1:D5:C6,1675872023
672,97092,30.077,25.381,none,Calibration,B8:27:EB:98:CF:BA,1675872025
595,97090,28.988,19.935,none,Calibration,B8:27:EB:0F:85:C3,1675872027
704,97095,29.824,24.855,none,Calibration,B8:27:EB:34:50:CA,1675872028
564,97098,30.24,18.785,none,Calibration,B8:27:EB:86:0C:42,1675872030
768,97081,30.387,19.009,none,Calibration,7C:3F:E7:16:00:69,1675872091
755,97082,30.339,19.396,none,Calibration,B8:27:EB:B1:D5:C6,1675872093
848,97099,30.077,25.402,none,Calibration,B8:27:EB:98:CF:BA,1675872095
742,97095,29.044,19.949,none,Calibration,B8:27:EB:0F:85:C3,1675872096
868,97086,29.85,24.884,none,Calibration,B8:27:EB:34:50:CA,1675872099
715,97083,30.267,18.82,none,Calibration,B8:27:EB:86:0C:42,1675872101
